frame_idx,t_frame_start,t_after_inference,t_first_command,human,bbox_cx,bbox_cy,diff_x,diff_y,pan_step_deg,inference_latency_ms,command_latency_ms,total_software_latency_ms
243,1557.180122,1557.210016,1557.211241,1,295,397,-345,37,-1.2,29.895,1.224,31.119
244,1557.222161,1557.251962,1557.253918,1,295,400,-345,40,-1.2,29.802,1.956,31.757
245,1557.27225,1557.307366,1557.308637,1,292,402,-348,42,-1.2,35.116,1.271,36.387
246,1557.319066,1557.349532,1557.350801,1,291,401,-349,41,-1.2,30.465,1.269,31.735
247,1557.369601,1557.400582,1557.40176,1,290,404,-350,44,-1.2,30.981,1.178,32.159
248,1557.410963,1557.441484,1557.442761,1,291,405,-349,45,-1.2,30.521,1.278,31.798
249,1557.459636,1557.490428,1557.49178,1,290,406,-350,46,-1.2,30.792,1.352,32.144
250,1557.502488,1557.52967,1557.530882,1,291,404,-349,44,-1.2,27.182,1.212,28.395
251,1557.547998,1557.57814,1557.579501,1,290,404,-350,44,-1.2,30.142,1.361,31.502
252,1557.588398,1557.614439,1557.615648,1,292,401,-348,41,-1.2,26.041,1.209,27.25
253,1557.634142,1557.663705,1557.664908,1,291,401,-349,41,-1.2,29.563,1.203,30.766
254,1557.674117,1557.703518,1557.704737,1,292,400,-348,40,-1.2,29.4,1.22,30.62
255,1557.721633,1557.752288,1557.753476,1,292,402,-348,42,-1.2,30.655,1.188,31.843
256,1557.764378,1557.793329,1557.794517,1,292,402,-348,42,-1.2,28.951,1.188,30.139
257,1557.811414,1557.842061,1557.84339,1,292,402,-348,42,-1.2,30.647,1.329,31.976
258,1557.852589,1557.881466,1557.882963,1,291,403,-349,43,-1.2,28.877,1.497,30.374
259,1557.901645,1557.930976,1557.932157,1,291,405,-349,45,-1.2,29.332,1.181,30.513
260,1557.941265,1557.968515,1557.969673,1,291,406,-349,46,-1.2,27.25,1.158,28.408
261,1557.986548,1558.012929,1558.014204,1,292,406,-348,46,-1.2,26.382,1.275,27.656
262,1558.025043,1558.052897,1558.054135,1,292,402,-348,42,-1.2,27.854,1.238,29.092
263,1558.070831,1558.0979,1558.099083,1,292,402,-348,42,-1.2,27.069,1.183,28.252
264,1558.108222,1558.136515,1558.13768,1,292,400,-348,40,-1.2,28.293,1.165,29.458
265,1558.154288,1558.180865,1558.182086,1,293,401,-347,41,-1.2,26.577,1.221,27.798
266,1558.193057,1558.222179,1558.223858,1,295,401,-345,41,-1.2,29.122,1.679,30.801
267,1558.241613,1558.279911,1558.281251,1,298,401,-342,41,-1.2,38.299,1.34,39.639
268,1558.29086,1558.320427,1558.32168,1,291,403,-349,43,-1.2,29.567,1.254,30.821
269,1558.340837,1558.371024,1558.372279,1,291,404,-349,44,-1.2,30.187,1.255,31.442
270,1558.381768,1558.410224,1558.411612,1,291,406,-349,46,-1.2,28.456,1.388,29.844
271,1558.430114,1558.46216,1558.463984,1,289,407,-351,47,-1.2,32.046,1.824,33.87
272,1558.477647,1558.519451,1558.521178,1,293,406,-347,46,-1.2,41.804,1.727,43.53
273,1558.539661,1558.576176,1558.57759,1,289,402,-351,42,-1.2,36.515,1.414,37.929
274,1558.588105,1558.622765,1558.624059,1,292,401,-348,41,-1.2,34.66,1.294,35.955
275,1558.643068,1558.678412,1558.67978,1,293,401,-347,41,-1.2,35.344,1.368,36.711
276,1558.693446,1558.734995,1558.736287,1,295,400,-345,40,-1.2,41.549,1.292,42.841
277,1558.753653,1558.787011,1558.788259,1,295,400,-345,40,-1.2,33.358,1.249,34.607
278,1558.797106,1558.829586,1558.830791,1,295,403,-345,43,-1.2,32.48,1.206,33.686
279,1558.849636,1558.880239,1558.881582,1,295,405,-345,45,-1.2,30.603,1.343,31.946
280,1558.890661,1558.931326,1558.932582,1,292,404,-348,44,-1.2,40.665,1.256,41.921
281,1558.94943,1558.980108,1558.981409,1,291,404,-349,44,-1.2,30.678,1.302,31.979
282,1558.992427,1559.023068,1559.024347,1,291,407,-349,47,-1.2,30.64,1.279,31.92
283,1559.04132,1559.070366,1559.071595,1,291,408,-349,48,-1.2,29.046,1.229,30.275
284,1559.081102,1559.108446,1559.109733,1,291,406,-349,46,-1.2,27.344,1.287,28.631
